"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HMGB2",-1.91994528323212,5.51800867532131,-31.5020765729915,3.96061640353436e-152,8.63018314330138e-148,336.982130849731
"LMNB1",-2.43553682319253,3.61945532871586,-30.0717571299009,2.8593650168581e-142,3.1152781858669e-138,314.361597968143
"MKI67",-2.67826516254128,2.9435013414446,-30.0256859105214,5.9365975784169e-142,4.31194870779014e-138,313.633600088321
"CCNB2",-2.14953372905587,3.98917127246228,-28.8151542305129,1.25372062179806e-133,6.82964308724495e-130,294.531628484956
"WDR76",-1.84611307414804,2.15104459653179,-28.8008923322372,1.57077273222404e-133,6.84542756703235e-130,294.306952704387
"CHAF1B",-1.43793945809277,1.77050909250603,-28.6756930609998,1.1361840515072e-132,4.12624174705697e-129,292.335070519124
"SPC24",-2.25732567373694,2.3465320431048,-28.4012386755918,8.6679741520348e-131,2.69821652532626e-127,288.015430779654
"KIF11",-1.94209635779799,3.01957020473555,-28.3028907053195,4.09274185207972e-130,1.11476056196021e-126,286.468598945388
"NUSAP1",-2.31653938284307,3.56637550201404,-28.2662462399825,7.2965366683705e-130,1.76657260004215e-126,285.892400432972
"TROAP",-2.61615839132751,2.26430384049809,-28.2443350287302,1.03096429771966e-129,2.24647120473114e-126,285.547907923794
"FBXO5",-1.57738200489813,3.06711210553147,-28.2013724430017,2.03033509214846e-129,4.02190924162864e-126,284.872529206961
"FOXM1",-2.25756110943585,3.8500634479907,-28.0521937912357,2.13374705502633e-128,3.87452902741865e-125,282.528341733714
"CCNA2",-2.02707767487001,3.83892690290962,-27.8953726508475,2.5255222559112e-127,4.2331638427927e-124,280.065669559809
"KIF4A",-2.22192773903757,2.43886414206964,-27.7645984829439,1.98029453545485e-126,3.08218699482579e-123,278.013352604038
"PLK4",-1.8865704586757,1.84243139425787,-27.7590813207184,2.15998318891226e-126,3.13773557909321e-123,277.926795723441
"KIF18B",-2.33988322370049,1.65604273926606,-27.7209306274064,3.93784025518328e-126,5.36284619752773e-123,277.328323901426
"TOP2A",-2.37493732137367,4.50731239851505,-27.6281307580337,1.69614575688475e-125,2.17405976720698e-122,275.873021993749
"NCAPG2",-1.53505749306225,3.44412036950113,-27.6218750058354,1.87156737061094e-125,2.26563627808958e-122,275.774941803119
"KIF20A",-2.67094620715943,3.48132336466736,-27.5677116396484,4.38753522307435e-125,5.03181013214685e-122,274.925872744454
"CDCA3",-2.06955718140963,2.98098432306931,-27.5178819098177,9.60600496705607e-125,1.00118493550395e-121,274.144939638271
"FANCD2",-1.60620647880207,1.98681367174798,-27.517598763196,9.64886812555435e-125,1.00118493550395e-121,274.140502712911
"NCAPH",-2.29542015321837,1.68469338499711,-27.4933703207823,1.4122720474703e-124,1.39879126883535e-121,273.760864998158
"NCAPD2",-1.13753314155716,4.83695047396132,-27.2833851376822,3.82752464687752e-123,3.62616356762875e-120,270.472578024325
"CENPA",-2.30461339713046,2.2586094247548,-27.26545947547,5.07194022329817e-123,4.60489906106947e-120,270.192038372232
"CENPH",-1.49145858702652,3.06532711167025,-27.2118920034452,1.17609562202185e-122,1.02508494415425e-119,269.353861237182
"ASPM",-2.25211922038264,2.18174522202272,-27.0582699517157,1.31028687943969e-121,1.09812119626888e-118,266.95149892992
"PRC1",-2.32137293755079,4.04150201805152,-27.0179779648493,2.46491819249282e-121,1.98928027460809e-118,266.321754196169
"LBR",-1.04285849502984,4.145272654042,-27.0012713371334,3.20313815668027e-121,2.49272787264511e-118,266.060680548444
"KIF15",-1.95559308960327,1.27377977366592,-26.9551815962486,6.59769364821128e-121,4.95737050325944e-118,265.340570490096
"PLK1",-2.2574376052653,3.70634885736464,-26.9451005976657,7.72717008840928e-121,5.61250120754794e-118,265.18309010456
"BIRC5",-2.55094206796237,3.90934246546907,-26.8960240595581,1.66747692452998e-120,1.17207490920994e-117,264.416575163305
"GINS2",-1.92264847906069,2.26615452500033,-26.8510805602683,3.37195431997056e-120,2.29609014475495e-117,263.714810737485
"MYBL2",-2.67846615331995,2.91079537988115,-26.8260637447879,4.98970358575355e-120,3.29471639798696e-117,263.324271583903
"SPC25",-2.55727352552025,1.76809622289804,-26.7641794347634,1.31513702749277e-119,8.4284811261963e-117,262.358448387253
"CDCA8",-2.07274976401782,3.27195700581918,-26.6589335213449,6.8298754606533e-119,4.25208532250387e-116,260.716738059878
"CENPF",-2.04687755522472,3.10507126875995,-26.647773869047,8.13291332958697e-119,4.92267170699167e-116,260.542724827967
"TMPO",-1.33830657648363,4.65971651873231,-26.6195197627992,1.26537008309264e-118,7.45200381367259e-116,260.102212104205
"TK1",-2.38663542862456,4.5536904289984,-26.563220691644,3.05235717905334e-118,1.75028586662032e-115,259.224686568436
"ANLN",-2.11295732297819,4.4298622461126,-26.548222058985,3.85915031461657e-118,2.1561765475768e-115,258.990959199865
"MCM6",-1.27410450146906,4.07255863495406,-26.5120729201607,6.79111241854924e-118,3.6994584900047e-115,258.427732778206
"DEPDC1B",-1.97593189982767,1.04283100446673,-26.4893377926113,9.68903115070905e-118,5.14936557985244e-115,258.073573935128
"PRIM1",-1.59138710521291,2.39776838851875,-26.4065036027798,3.53516674022028e-117,1.83407817308095e-114,256.783670207282
"EZH2",-1.26373684007728,2.88639801086979,-26.2594736307774,3.5107959183996e-116,1.77907542004482e-113,254.495894632772
"CENPM",-2.23544992341355,2.3187295539378,-26.2506706133929,4.0277800550056e-116,1.99466653178573e-113,254.358994450301
"CDKN3",-2.31902393094497,3.34537644049198,-26.2322646642495,5.36778805757036e-116,2.59920226165462e-113,254.072781638342
"DLGAP5",-2.59590528397812,2.92424022798671,-26.1779250578626,1.25296233256674e-115,5.93522809274549e-113,253.22801770932
"BUB1B",-2.17561061452992,2.77547345325331,-26.1602676371727,1.65018911082638e-115,7.650557601044e-113,252.953585859831
"ERCC6L",-1.87374479743538,1.0794511254001,-26.1550298576897,1.79063421460008e-115,8.12873323669492e-113,252.872186920468
"GTSE1",-2.13365857267574,2.46465390965891,-26.0940319405059,4.63468385932623e-115,2.06101553662691e-112,251.924461455954
"SKA3",-2.12560150336445,2.13241969612363,-26.0679977208644,6.95409382170682e-115,3.03059408749983e-112,251.520095605253
"RACGAP1",-1.425743253524,4.23847242957266,-26.0394432580131,1.08512893092486e-114,4.63626654997111e-112,251.076674053264
"CDC20",-2.58487620557386,4.45677477798323,-26.0229892144955,1.402215414921e-114,5.87582190214009e-112,250.821202098618
"E2F8",-1.86431851098646,0.112353212742579,-25.9584994271831,3.82862081123932e-114,1.57406882031896e-111,249.820210181967
"TPX2",-1.79314984337446,4.83886198652558,-25.9325891588173,5.73122672227801e-114,2.31265611626737e-111,249.418174995563
"PSRC1",-1.54866529936697,3.28632461991659,-25.9055747517417,8.72735172097718e-114,3.45761807272896e-111,248.999091572788
"BUB1",-2.23332738374936,2.99365665719722,-25.8265446608456,2.98511379020184e-113,1.16152909800889e-110,247.773569232835
"POLA1",-1.05909530028962,2.17541427482287,-25.8041810068332,4.22701180237238e-113,1.61590503813499e-110,247.426911170097
"RBL1",-1.21823815387106,1.90155223911981,-25.7749439756498,6.66036320457207e-113,2.50222955564871e-110,246.973800445125
"IQGAP3",-2.15139020429278,2.30514302003112,-25.7405507621533,1.13691740571554e-112,4.19888648653248e-110,246.440913266918
"CEP55",-2.21492806601147,3.364211495378,-25.7354092539478,1.23151633511409e-112,4.47245682368934e-110,246.361263363489
"SPAG5",-1.80978716116337,3.50574595993049,-25.7207020032334,1.54783166239616e-112,5.52905769239545e-110,246.133443260961
"BARD1",-1.30761092169326,1.53647662433425,-25.6433788081423,5.14653177773035e-112,1.80875689414104e-109,244.936121834222
"DEPDC1",-2.18842586445668,1.9187755696124,-25.6236624672982,6.9905653748021e-112,2.41784792884028e-109,244.630940752517
"CDCA7",-2.06999894871442,1.95610920126986,-25.5937297930072,1.11271560902995e-111,3.78844892511917e-109,244.167718735291
"CDK1",-2.31512026207939,3.54886989524493,-25.5695601046453,1.61939740566098e-111,5.42871837990043e-109,243.793764262688
"RNASEH2A",-1.34632090956898,4.23369164377125,-25.5666004539655,1.69553710938788e-111,5.5978414566003e-109,243.747977514461
"MELK",-1.52884880771389,3.81650665983281,-25.4859850413006,5.92415551997601e-111,1.92667684746682e-108,242.501261992591
"FAM83D",-2.03364108186856,2.91112822022212,-25.4738390555948,7.15244569483877e-111,2.29193811309613e-108,242.313497129739
"SAPCD2",-1.9342599952469,1.55031095984839,-25.4284852424881,1.44521312461433e-110,4.56394115729655e-108,241.612541759193
"CENPW",-1.72476976677388,3.22922133756866,-25.388988017048,2.66604448604593e-110,8.29901562156297e-108,241.002320792503
"NEK2",-2.35076364019507,2.10131165727711,-25.3740959180641,3.35824967961244e-110,1.03065155660218e-107,240.772295429281
"HMGN2",-1.14186006013538,6.43077651921805,-25.346837118527,5.12355607999874e-110,1.55058731921073e-107,240.351328456607
"UBE2C",-2.60154280540237,4.36132969527246,-25.2921815571777,1.19477858507722e-109,3.56633224230583e-107,239.507562434998
"CKS1B",-1.20542377599055,4.95245233592741,-25.2238993023515,3.43903515726796e-109,1.0126564334712e-106,238.453994580755
"NDC80",-2.38994845639834,2.75555429445061,-25.1977688986737,5.15314038312222e-109,1.49715905264311e-106,238.05098075746
"KIF2C",-2.34087776429213,3.07507489564069,-25.1751576074166,7.31174158299346e-109,2.0963532775451e-106,237.702318394572
"PRR11",-1.63655648151047,3.40604065838309,-25.1099529203912,2.00459870096316e-108,5.6727539862321e-106,236.697268529361
"UHRF1",-1.64932884471096,3.43464660713754,-25.098714262695,2.38504282994631e-108,6.66283118776028e-106,236.524098220986
"MCM5",-1.46559560242555,3.89884206372572,-25.0464218375434,5.35234433853225e-108,1.47629852071668e-105,235.718585937155
"TMPO-AS1",-1.47126072238515,0.504980722960127,-24.9445911081416,2.58028681701156e-107,7.02805621783523e-105,234.151098508505
"PBK",-2.46125055953614,3.10773588582331,-24.9132399702409,4.18653530695834e-107,1.12622968319287e-104,233.668807887835
"GINS1",-1.3744367671028,2.27128126503567,-24.7823509676466,3.15281589456786e-106,8.37803150519922e-104,231.656825129261
"SMC4",-1.33505906611709,4.78121096690493,-24.7123789646445,9.26828110772946e-106,2.43320295587259e-103,230.582279529199
"AURKB",-2.31883617052113,3.58198898639997,-24.6633991706583,1.97067645633108e-105,5.11202856945885e-103,229.830545358272
"MAD2L1",-1.45618820637296,2.73824685111361,-24.6530817698558,2.30996947914452e-105,5.92167470006578e-103,229.672241924271
"KIF14",-1.80584204493323,1.36429251270469,-24.6144764347532,4.18496468917212e-105,1.06035326252396e-102,229.080051122007
"CCNB1",-1.65790708096656,5.2914417762791,-24.603429253548,4.96051216342104e-105,1.24240873610281e-102,228.91063368695
"CDCA5",-1.67412125205791,3.2059351011094,-24.583841755309,6.70534465237144e-105,1.66033477244515e-102,228.61028976832
"TACC3",-1.49932912297455,4.22548326451238,-24.506805156071,2.19266624499452e-104,5.36833679532927e-102,227.429629471146
"NUF2",-2.41501493743987,2.43275295423859,-24.4725218308714,3.71391769875311e-104,8.99180740620336e-102,226.904502375658
"KIF22",-1.20697515622431,4.13157429638543,-24.4515032583889,5.12982952584169e-104,1.22834049855045e-101,226.582646629445
"HJURP",-1.95175074332967,2.90963574206147,-24.4077010496651,1.00537052018978e-103,2.38119822118863e-101,225.912131698498
"CCNF",-1.27553222425534,2.80684620283485,-24.3529016371748,2.33200489405437e-103,5.46391254209083e-101,225.073704909834
"CDKN2C",-1.98116695332768,3.00981289262709,-24.3365862508788,2.9955755691905e-103,6.94399911198521e-101,224.824173952851
"CDCA2",-1.6326626282502,2.19067398460075,-24.3162098496666,4.09518722471545e-103,9.39306627647892e-101,224.512593362761
"RAD51AP1",-1.82621542804659,2.33465411835795,-24.2957347736664,5.60654662307393e-103,1.27256928038313e-100,224.199571700715
"FANCI",-1.21786187020209,3.63453768320256,-24.2261872597175,1.62875686815149e-102,3.65882599556918e-100,223.136844495287
"MCM7",-1.31446900464648,5.5918170538317,-24.193888380345,2.67200746693739e-102,5.94112680658834e-100,222.643568818329
"ESCO2",-1.87418863884212,0.906711027495039,-24.1859336101761,3.01837467504732e-102,6.64347314841224e-100,222.522108283679
"SHCBP1",-2.06191500680346,2.38912938337323,-24.1825947381417,3.17680465584219e-102,6.92225734508012e-100,222.471130530928
"SHMT1",-1.16795181471751,2.86458685519837,-24.1486692137262,5.34183567603214e-102,1.15246138000733e-99,221.953262224083
"ASF1B",-2.01939021075434,3.02471618999816,-24.1022536215063,1.08730013978848e-101,2.32277157313638e-99,221.245046422372
"E2F2",-1.59762400984446,-0.439547226845924,-24.0509779901963,2.38311069951166e-101,5.0415516643067e-99,220.463097275806
"MCM10",-2.0122575869537,1.41595015274019,-24.0332895581805,3.12365119587166e-101,6.54464995750418e-99,220.193453569776
"POC1A",-1.21107065281818,2.76000116107682,-24.0322976935131,3.17140417662942e-101,6.58141876273857e-99,220.178335092069
"CENPI",-1.53460933992764,1.83508546200949,-23.9513447143103,1.09341369974445e-100,2.24768721862561e-98,218.944978891605
"KIF20B",-1.4284657617816,2.54665361240028,-23.9205462213608,1.75049089290078e-100,3.56478472488861e-98,218.476046186178
"NEIL3",-1.89133812481343,1.18643838452782,-23.8440504778799,5.62946374871559e-100,1.13579643596771e-97,217.312049851765
"SKP2",-1.03743531392059,3.44164766265157,-23.8029919220594,1.05335983802341e-99,2.10575329087433e-97,216.687707050334
"NCAPG",-2.06666237755031,2.79114794679415,-23.7912716164096,1.25958556757974e-99,2.49512450159659e-97,216.509541009976
"TTK",-2.11021525587023,2.07945878371155,-23.7478526348364,2.44230834714498e-99,4.79440530489091e-97,215.849721126955
"FANCG",-0.985571431515235,3.19363457422427,-23.7442243502337,2.58121844071531e-99,5.02185266278452e-97,215.794598864933
"POLQ",-1.56612609064935,0.596921190781014,-23.7397315030884,2.76421747739376e-99,5.33029193207168e-97,215.726345111845
"CDT1",-1.47490281345598,2.58497032727762,-23.7268725452536,3.36281967133961e-99,6.4277053191658e-97,215.531016355073
"EXO1",-1.87438375285161,1.62129913971165,-23.7043705087501,4.73854421717086e-99,8.97851117323071e-97,215.189279848793
"MCM2",-1.33035981650444,3.85190182015691,-23.6885513385757,6.03015686005751e-99,1.13273377569529e-96,214.94909009742
"CDC25C",-2.0518965274555,1.47755950931945,-23.6097858067286,2.00109694235048e-98,3.71454044598052e-96,213.753832591027
"HMMR",-2.1789258421304,2.56012392463656,-23.6094436721088,2.01154553752043e-98,3.71454044598052e-96,213.748643207625
"DLEU2",-1.26580017734578,0.998785948222489,-23.6085912160312,2.03781679354269e-98,3.73143091859624e-96,213.73571353244
"RRM2",-2.18225349514327,4.3787554801255,-23.5745024387397,3.4234651234472e-98,6.21644208665955e-96,213.218779430529
"HELLS",-1.34582768797825,2.08452758461107,-23.5534779929628,4.71384381223976e-98,8.48881460071938e-96,212.900064097416
"TIMELESS",-1.13051226275791,3.27152009377371,-23.4593241866125,1.97249756626709e-97,3.52300999745573e-95,211.473767572043
"PXMP2",-1.03399415583634,3.52471111195943,-23.3297852034701,1.4096238512982e-96,2.49721168453559e-94,209.514162617171
"HAUS4",-0.930189242832863,3.92730097196384,-23.2816503737889,2.92493142001367e-96,5.13985932597564e-94,208.786818311051
"MCM3",-1.10395149344578,4.89351046350108,-23.2439029531008,5.18300572599852e-96,9.03501558156062e-94,208.216746839893
"CLSPN",-1.7928643803983,1.52723902905959,-23.2256520412765,6.8339562107027e-96,1.18184052246994e-93,207.941216082766
"ORC1",-1.70355156421297,1.43096946589473,-23.2022408551056,9.74262345542897e-96,1.67158870152596e-93,207.587876767671
"POLE2",-1.81887444840588,1.4517846569647,-23.185949565089,1.24685522491025e-95,2.12257619928082e-93,207.342059622509
"ZWINT",-1.65665193448856,4.12935434856259,-23.0813240661383,6.07222345525322e-95,1.02568797744161e-92,205.764627153924
"PTTG1",-1.53894729303178,5.31986524277275,-22.9987170394615,2.11602085183968e-94,3.54677648935282e-92,204.520708267242
"UBE2T",-1.29725125693376,4.29846355092743,-22.9672414731125,3.40365586378817e-94,5.66150086045376e-92,204.047102941326
"TRAIP",-1.38059299659085,1.68195173035615,-22.9426133847387,4.93631440068306e-94,8.14865839324878e-92,203.676670387279
"BLM",-1.68447589804392,0.745644931743145,-22.8342851177466,2.52896783614591e-93,4.14332399621198e-91,202.048774647995
"RFC3",-1.24627093445763,2.398467740448,-22.7705811336851,6.60248100912753e-93,1.07364224767828e-90,201.092602109062
"CKAP2L",-1.89070057751335,2.21452848067894,-22.6964150524425,2.01581932842663e-92,3.25368171603083e-90,199.980469820076
"DHFR",-1.19376410362466,3.43040471228295,-22.6934133712181,2.10891847143376e-92,3.37892158033394e-90,199.935483596452
"PKN3",-1.36693864175075,1.66959220795046,-22.6776724346906,2.67222079232061e-92,4.25019642807782e-90,199.699605351307
"WDR62",-1.48778686928545,1.85007332553274,-22.6378163383492,4.86510073659497e-92,7.68192355437712e-90,199.102596847559
"KIF4B",-1.34357867110053,-1.04249456403676,-22.6190077002457,6.45419255012025e-92,1.01177594005122e-89,198.820978259506
"CIT",-1.54965228291262,2.30262906348184,-22.5451704364815,1.95616031162517e-91,3.04462379930803e-89,197.716161193856
"RFC5",-0.884912128020108,3.37862906842572,-22.5204701675098,2.83389757311753e-91,4.37947717150574e-89,197.346837780744
"HAUS5",-0.817692995368291,2.17333705713197,-22.5153832864011,3.05865063054761e-91,4.69352093236848e-89,197.270794190121
"TRIP13",-1.51745322443961,3.3635747983263,-22.4827818626989,4.98769812645968e-91,7.60013581647248e-89,196.783570842163
"ZNF367",-1.52659751224467,1.32953615657552,-22.4660694367559,6.40808423695361e-91,9.69667746689023e-89,196.533896347643
"FAM111B",-1.99425740011388,1.58086940375388,-22.3922245714347,1.9376382130261e-90,2.91180252840268e-88,195.431430769635
"STMN1",-1.21930766272797,6.72542069896995,-22.3872181647926,2.08849241896712e-90,3.11700341159545e-88,195.356731384955
"ATAD2",-1.11202296743396,3.63026300416748,-22.3684619526872,2.76564475288398e-90,4.09955096362871e-88,195.076924020502
"PKMYT1",-1.91471022068866,2.65700889246176,-22.3496396399221,3.66568875241059e-90,5.39698364290721e-88,194.796209356558
"BRIP1",-1.45715170189755,1.11894656228149,-22.2662652727386,1.27566953743537e-89,1.86555967924274e-87,193.553724779507
"DDIAS",-1.48369775354024,1.33786900915897,-22.2652109329588,1.29593319800196e-89,1.88255895896418e-87,193.538022532824
"PRC1-AS1",-1.39555999837467,0.305452224278659,-22.2214481928321,2.49218226692073e-89,3.59633454279489e-87,192.886487860087
"CENPE",-1.56575609110986,2.19608081649168,-22.1315265357525,9.53959955409245e-89,1.36755180449786e-86,191.549116268519
"CDC6",-1.38596700025016,2.73890553908734,-22.0764408597426,2.16892764756084e-88,3.08894989806214e-86,190.730767307901
"MNS1",-1.23950195161777,0.796908465546136,-22.0716253494973,2.3303120427169e-88,3.2972402214806e-86,190.659261887324
"C21orf58",-1.07933975977626,1.4947543814176,-22.0632855227593,2.63869479984538e-88,3.70949417346005e-86,190.535436727798
"POLE",-0.847884877980621,2.97858112512061,-21.9667815182813,1.11031780119988e-87,1.55088621077855e-85,189.103782279168
"DTL",-1.72627292642081,2.24175472755927,-21.9348413743978,1.78559929148256e-87,2.47822984467548e-85,188.630427660852
"CDC45",-2.05049052330366,2.37979728891446,-21.9330157474362,1.83474023459718e-87,2.5303158045489e-85,188.603379079213
"ANGPTL4",2.03645657230655,3.80327162517781,21.9290996639339,1.94475527013847e-87,2.66517090165517e-85,188.545360857301
"CENPU",-1.46887559634718,2.94540715297768,-21.9048270965451,2.78986935290958e-87,3.79945332499373e-85,188.185835175102
"NEURL1B",-1.6200846362125,0.828488378311444,-21.8907505265724,3.43908714177982e-87,4.65451607573803e-85,187.977397100345
"RRM1",-0.904331560071786,5.47587707224678,-21.865754751055,4.98576268270882e-87,6.70615857137192e-85,187.607390178456
"NUDT1",-0.893745076233788,4.19283841375343,-21.8502906084726,6.27311857085982e-87,8.38596648214941e-85,187.378552874436
"OIP5",-2.02840854799134,1.24122579001021,-21.7476316130234,2.87776287991421e-86,3.8235642166665e-84,185.860875125689
"RAD54L",-1.691080453539,1.5775280167219,-21.7467007668532,2.91775384524469e-86,3.85320341138678e-84,185.847125492105
"BRCA1",-1.14753191396186,2.07161787508289,-21.6986099908648,5.95081710110151e-86,7.81134365259048e-84,185.137059288009
"ATAD5",-1.10223711574404,0.668309915231156,-21.6205123602186,1.89109836831363e-85,2.4674870326679e-83,183.985149598535
"PLA2G4C",1.62278051885181,1.74279246432088,21.5231695094886,7.97393652843078e-85,1.03423855330064e-82,182.551501705345
"DEK",-0.917941793491213,5.94087385878801,-21.4646543095839,1.89171297644816e-84,2.43907844714825e-82,181.690845646282
"HIRIP3",-0.849571736763125,2.9538416740751,-21.44884788109,2.38856530159126e-84,3.06157870127492e-82,181.45850946973
"USP1",-0.965657832846769,4.06858151694561,-21.379129716595,6.67631937856108e-84,8.50742685724246e-82,180.434492978386
"SNRPA",-0.710029180908473,5.78218796619372,-21.3185292268205,1.62974227438827e-83,2.06465605575118e-81,179.545409368849
"PHF19",-1.09599978437646,4.01721108101939,-21.272365259319,3.21435221958818e-83,4.04859739103043e-81,178.868764577177
"TRIM59",-1.1835605112042,2.98232456402286,-21.2413712920672,5.06992320652365e-83,6.34905900403163e-81,178.414784061576
"PARPBP",-1.06223638926675,1.96042654232112,-21.2099461748734,8.0454688377899e-83,1.00177580557395e-80,177.95474481576
"TICRR",-1.08012218955392,1.34569774978053,-21.1674800823998,1.50101364878065e-82,1.85835723903014e-80,177.333486544202
"APOBEC3B",-1.94039989276471,2.01728255794068,-20.996274588239,1.84573031311722e-81,2.27222957756069e-79,174.833692888022
"RRM2B",0.905547008517254,4.78800607359314,20.9895556743971,2.03641889588074e-81,2.49289706411468e-79,174.735749527742
"DUT",-0.766552454671608,4.86707781736381,-20.9571511507738,3.2713305959914e-81,3.98225104394707e-79,174.263552002631
"GPSM2",-1.05526623136405,2.79274123359564,-20.9434618401949,3.9962433606202e-81,4.83767460155079e-79,174.064157516597
"GMNN",-1.06704123753341,3.69647526603984,-20.9244291290615,5.27804974182816e-81,6.35407203726163e-79,173.787017398035
"FBL",-0.957819325919161,6.81724678231359,-20.9005261765344,7.48430047070111e-81,8.96059929981193e-79,173.439100511476
"MND1",-2.28511315993247,0.579340652141867,-20.8068551685777,2.93692272300468e-80,3.49702437892196e-78,172.077194058204
"XRCC2",-1.27176773492867,0.873820619547579,-20.6494827672696,2.90425897486864e-79,3.43933712295585e-77,169.794606477425
"MCM4",-1.04513205045618,4.8369489774879,-20.6435051454445,3.16792883576818e-79,3.73130645034533e-77,169.708042039332
"RFC4",-0.986414587200273,4.0258506300139,-20.6238472383571,4.21556632685165e-79,4.9385586162418e-77,169.423439049546
"INCENP",-0.947530441164707,3.51213262585047,-20.616477894657,4.69200999926722e-79,5.46732074246164e-77,169.31677551069
"HAUS8",-1.03652409059259,2.68377598612982,-20.5580914332867,1.0953689737222e-78,1.26957925198972e-76,168.472239109085
"DBF4",-1.01613567314537,2.76830894279862,-20.5563899078092,1.1227535089421e-78,1.29443380739938e-76,168.447641832265
"FANCA",-1.18969246061816,2.48747753339343,-20.5431867260247,1.35983502796746e-78,1.55951606628478e-76,168.256804629839
"LIPH",1.59041317601641,-0.82915829951248,20.5316479120712,1.60761503687761e-78,1.83402783526509e-76,168.090064933985
"DDX12P",-1.08307283297204,1.04630731463358,-20.5185038535287,1.9452300212009e-78,2.20763344593581e-76,167.900175513198
"PSIP1",-0.843635097685049,4.79929544310223,-20.457918907587,4.68049282535483e-78,5.28434915360009e-76,167.025561517821
"GINS4",-1.17757872027796,2.65756449542699,-20.4436455317051,5.75520900891364e-78,6.46422702599115e-76,166.819663362957
"BORA",-1.01221873876796,1.54440690538773,-20.4139920663827,8.84053815603978e-78,9.87873468821061e-76,166.392091644081
"NDC1",-0.754860149400491,3.76499137803178,-20.4076336809964,9.6925154634942e-78,1.07755057117112e-75,166.30044377527
"MIS18A",-0.796570441198335,2.70135097696209,-20.2876383181399,5.48982017118463e-77,6.07224271726462e-75,164.573089222352
"RAD51",-1.25809291954796,2.10869615631424,-20.260553391085,8.11513611686717e-77,8.93074828214826e-75,164.183784705358
"TMSB15A",-2.09912742697064,0.936620447781024,-20.2490362770483,9.58172032638737e-77,1.04917430106523e-74,164.018309797274
"GAS2L3",-1.30471211383605,2.14508897580192,-20.180473429926,2.57391082693072e-76,2.80427584594102e-74,163.034035847407
"CDC7",-0.971778846482243,1.95343092548106,-20.178157922315,2.66119159042804e-76,2.8849435201705e-74,163.000819475942
"CHAF1A",-0.900530175847121,3.51231822810852,-20.1625349790481,3.33252697657931e-76,3.59483974354768e-74,162.776747669724
"ESPL1",-1.32199800473246,1.80797308151582,-20.1539330810647,3.77182717576809e-76,4.04867557438358e-74,162.653406437714
"CENPK",-1.40411181874928,2.49548815042539,-20.1275334557816,5.51491809263915e-76,5.89068947248074e-74,162.275005757085
"EME1",-1.30251823769458,2.14801176641982,-20.0993905705791,8.26648144484459e-76,8.78666491137383e-74,161.871849965744
"ARHGAP19",-0.790912945274775,2.26225556870093,-20.0857972069567,1.00505127041951e-75,1.06311005740005e-73,161.677206700099
"CNTRL",-0.933245779499678,1.62755658012821,-20.0850332957821,1.01614767416728e-75,1.06965496715484e-73,161.66626992747
"RMI1",-0.797945408252728,2.57513767232673,-20.0137930748279,2.82700170618869e-75,2.96155611431979e-73,160.647118759259
"TMEM217",1.22264018959692,0.844628594862643,19.9705873534503,5.25411307539259e-75,5.47785281879447e-73,160.029781744542
"ARPIN",-0.710712541088056,2.74142377215127,-19.9119199429402,1.21787055138149e-74,1.26368568164775e-72,159.192444869357
"DIAPH3",-1.34637807206487,2.50555641977058,-19.9038818363334,1.36643294586988e-74,1.41111724599548e-72,159.077803193112
"TFAP4",-0.915599471972028,1.98961409547732,-19.901769322035,1.40839391607132e-74,1.44758978449029e-72,159.047677267092
"PIF1",-1.36464923299432,1.9485983548529,-19.8624742803016,2.4714677141242e-74,2.52832307468386e-72,158.487555858594
"DBF4B",-0.946389747878613,1.79688098486026,-19.7927787014427,6.69300024694213e-74,6.81497548508734e-72,157.495285309107
"CHEK1",-0.846814480166771,3.43279780591068,-19.7784045388514,8.21812320218402e-74,8.32897230584138e-72,157.290827251596
"FANCE",-0.847944837424994,2.38543233636522,-19.7589064677325,1.08557298224786e-73,1.09512200385097e-71,157.013590955838
"DSCC1",-1.26741423555846,1.74737430006811,-19.7451782370508,1.32051001612665e-73,1.32598678577878e-71,156.818466138438
"KIF18A",-1.36600865747462,2.10586455867916,-19.6710395262101,3.79996550581679e-73,3.79822240237375e-71,155.765737577598
"AURKA",-1.16626365289138,4.46585210923043,-19.6404528928039,5.87407043028596e-73,5.8445659669375e-71,155.331935467698
"PHGDH",-1.24222663319054,4.67889529720647,-19.6090063159453,9.18928123130355e-73,9.10156536500475e-71,154.886249982209
"BRCA2",-1.15441265169978,0.614299687682009,-19.6055418912241,9.65347233958978e-73,9.51806164161363e-71,154.837168900714
"DARS2",-0.655630469961438,3.80755726976523,-19.5941280919056,1.13548712550991e-72,1.11451641733607e-70,154.67549507424
"FEN1",-0.989351478162204,4.89334025029694,-19.5917007190493,1.17536518428821e-72,1.14848463523049e-70,154.641117317713
"C4orf46",-0.802541473201509,2.90359494965398,-19.5783074418511,1.42190387712214e-72,1.38318238761123e-70,154.451468750462
"RCC1",-0.717701270548218,4.92415447713397,-19.5731033492862,1.53107473408714e-72,1.48276082025594e-70,154.377794530556
"FAM72C",-1.09163725895251,0.546863113153054,-19.5353534790618,2.61771369555202e-72,2.5238929834548e-70,153.843633075518
"PTCHD4",1.29681212632137,0.0541568294001618,19.5334268955924,2.69032201545681e-72,2.58247210206185e-70,153.816384280431
