"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PSMC1",-0.108635210989558,4.10202977639257,-2.72880697289193,0.00646717301442553,0.0122198838002369,-4.05491078116041
"COTL1",-0.160316842216499,7.79134077943717,-2.72872781188736,0.00646871393092845,0.0122217355896064,-4.05512503552204
"LRRC49",-0.12661646440249,1.96813771657309,-2.72869417663677,0.00646936876141083,0.0122219130666848,-4.05521606964202
"DHRS3",0.219551515040487,3.74354971227357,2.72836097869249,0.00647585887828344,0.0122320531343443,-4.05611781326674
"ZNF215",-0.175738331326259,1.06008776534589,-2.72803508554442,0.00648221238413513,0.0122429927927801,-4.05699968274542
"TACC2",-0.129328310995986,2.92261762015817,-2.72729395822612,0.00649668207075024,0.012269258304875,-4.05900479281051
"RTN4RL1",-0.21931917085803,-1.49048394369788,-2.72696796613279,0.00650305591290073,0.0122796066801308,-4.05988659008055
"UBASH3B",-0.157588601909564,3.59608822887659,-2.72695606487415,0.00650328871448874,0.0122796066801308,-4.05991878060606
"F11",0.145482346803488,-3.06493290903027,2.72533475183588,0.00653507362942247,0.0123374852179099,-4.06430281433694
"RAB8B",0.106291038793584,3.9676144047438,2.72498228794711,0.00654200197155974,0.0123494951884507,-4.0652555374518
"ITIH2",0.263752535163328,-2.34351688908717,2.7247396480969,0.00654677535945215,0.0123552949144693,-4.06591133150899
"TNFRSF12A",0.180066262938235,7.57721131209497,2.72440281986072,0.00655340688998912,0.0123667390779305,-4.06682159753817
"TEX29",-0.212930917278158,-1.69838750475746,-2.72394746804933,0.0065623815507106,0.012382602527709,-4.06805199293539
"MMP19",0.19819536312444,2.54725556269223,2.72370997075734,0.00656706684470537,0.0123892975364615,-4.06869364835938
"MARK2P9",0.135469169346651,-2.24305933381961,2.72272004887711,0.00658662827121645,0.0124229749874324,-4.07136756401011
"ZNF354C",-0.100528019532525,2.19213710990287,-2.72256179958217,0.00658976022874754,0.0124278064206689,-4.07179492840905
"DAW1",0.190292919599763,-1.21806699910331,2.72239745787041,0.00659301418264607,0.0124328670739816,-4.07223871994092
